,id_execucao,data,nome,feature_type,tempo_processamento,tamanho_conjunto_treinamento,accuracy,micro_precision,micro_recall,micro_fscore,macro_precision,macro_recall,macro_fscore,best_params_,best_estimator_,grid_scores_,confusion_matrix,num_estimators,max_samples
0,29eddd7,22/09/2019 18:58:52,SVM,TF-IDF,19:09:44.515208,147507,0.31158847163782466,0.3735577357924386,0.31158847163782466,0.3225198819313648,0.2315475472108019,0.2973431201727612,0.24731065470894914,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=SVC(C=1.0,
                                                                           cache_size=200,
                                                                           class_weight='balanced',
                                                                           coef0=0.0,
                                                                           decision_function_shape='ovr',
                                                                           degree=3,
                                                                           gamma='auto_deprecated',
                                                                           kernel='linear',
                                                                           max_iter=-1,
                                                                           probability=True,
                                                                           random_state=None,
                                                                           shrinking=True,
                                                                           tol=0.001,
                                                                           verbose=False),
                                                        bootstrap=False,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=88504,
                                                        n_estimators=3,
                                                        n_jobs=4,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[61546  1116]
  [  211   345]]

 [[61834   821]
  [  386   177]]

 [[61733   982]
  [  339   164]]

 [[61827   971]
  [  367    53]]

 [[50926  3145]
  [ 7092  2055]]

 [[61656   958]
  [  454   150]]

 [[61067  1327]
  [  712   112]]

 [[62659   186]
  [  357    16]]

 [[59786  1378]
  [ 1587   467]]

 [[61755   513]
  [  328   622]]

 [[62168   518]
  [  280   252]]

 [[55180  3130]
  [ 3650  1258]]

 [[60119  1580]
  [ 1274   245]]

 [[61425  1362]
  [  342    89]]

 [[59834  1789]
  [ 1338   257]]

 [[62072   299]
  [  450   397]]

 [[62552   367]
  [  200    99]]

 [[60993   953]
  [  820   452]]

 [[57090  2162]
  [ 2654  1312]]

 [[62034   498]
  [  583   103]]

 [[62435   316]
  [  289   178]]

 [[62738   234]
  [  185    61]]

 [[43499  3698]
  [11274  4747]]

 [[60871  1625]
  [  379   343]]

 [[61370  1027]
  [  736    85]]

 [[54889  2975]
  [ 3155  2199]]

 [[60287  1198]
  [  963   770]]

 [[62772   292]
  [  140    14]]

 [[57066  3141]
  [ 1169  1842]]

 [[62024   616]
  [  441   137]]

 [[60910  1610]
  [  387   311]]

 [[62657   396]
  [  136    29]]

 [[59916  2167]
  [  782   353]]

 [[62984   170]
  [   60     4]]]",3,88504
1,29eddd7,22/09/2019 18:58:52,Multi-Layer Perceptron,TF-IDF,5:25:26.132849,147507,0.2760131608086305,0.34888600108187323,0.2760131608086305,0.2874396243003692,0.20292609040612375,0.2656436134605274,0.21898898370858155,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=MLPClassifier(activation='relu',
                                                                                     alpha=0.0001,
                                                                                     batch_size='auto',
                                                                                     beta_1=0.9,
                                                                                     beta_2=0.999,
                                                                                     early_stopping=False,
                                                                                     epsilon=1e-08,
                                                                                     hidden_layer_sizes=(10,
                                                                                                         10,
                                                                                                         10),
                                                                                     learning_rate='constant',
                                                                                     learning_rate_init=0.001,
                                                                                     max_iter=500,
                                                                                     momentum=0.9,
                                                                                     n_iter_no_change=10,
                                                                                     nesterovs_momentum=True,
                                                                                     power_t=0.5,
                                                                                     random_state=None,
                                                                                     shuffle=True,
                                                                                     solver='adam',
                                                                                     tol=0.0001,
                                                                                     validation_fraction=0.1,
                                                                                     verbose=False,
                                                                                     warm_start=False),
                                                        bootstrap=False,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=88504,
                                                        n_estimators=3,
                                                        n_jobs=4,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=0,
                                                        warm_start=False),
                    n_jobs=None)",,"[[[61885   777]
  [  211   345]]

 [[61592  1063]
  [  412   151]]

 [[62023   692]
  [  412    91]]

 [[61926   872]
  [  378    42]]

 [[50920  3151]
  [ 7337  1810]]

 [[62063   551]
  [  554    50]]

 [[59696  2698]
  [  657   167]]

 [[62685   160]
  [  361    12]]

 [[58333  2831]
  [ 1442   612]]

 [[61502   766]
  [  329   621]]

 [[62110   576]
  [  297   235]]

 [[55234  3076]
  [ 3778  1130]]

 [[59450  2249]
  [ 1193   326]]

 [[61851   936]
  [  370    61]]

 [[59409  2214]
  [ 1276   319]]

 [[61854   517]
  [  422   425]]

 [[62642   277]
  [  229    70]]

 [[60293  1653]
  [  821   451]]

 [[56498  2754]
  [ 2728  1238]]

 [[61533   999]
  [  554   132]]

 [[62329   422]
  [  316   151]]

 [[62446   526]
  [  194    52]]

 [[43995  3202]
  [12260  3761]]

 [[61685   811]
  [  532   190]]

 [[60573  1824]
  [  673   148]]

 [[55556  2308]
  [ 3669  1685]]

 [[60331  1154]
  [ 1058   675]]

 [[63031    33]
  [  153     1]]

 [[57858  2349]
  [ 1281  1730]]

 [[61834   806]
  [  441   137]]

 [[61221  1299]
  [  433   265]]

 [[62672   381]
  [  139    26]]

 [[60243  1840]
  [  795   340]]

 [[63152     2]
  [   64     0]]]",3,88504
0,980b15d,24/09/2019 11:28:36,Multinomial Naive Bayes,TF-IDF,0:01:18.671714,147507,0.21979499509633332,0.38562877869160483,0.21979499509633332,0.2110395644564401,0.2315653334593284,0.2782976792724779,0.19891059105529194,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=MultinomialNB(alpha=1.0,
                                                                                     class_prior=None,
                                                                                     fit_prior=True),
                                                        bootstrap=False,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=88504,
                                                        n_estimators=3,
                                                        n_jobs=8,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=1,
                                                        warm_start=False),
                    n_jobs=4)",,"[[[58297  4365]
  [  101   455]]

 [[61711   944]
  [  391   172]]

 [[61402  1313]
  [  355   148]]

 [[62211   587]
  [  394    26]]

 [[52948  1123]
  [ 8319   828]]

 [[61527  1087]
  [  457   147]]

 [[61632   762]
  [  768    56]]

 [[62681   164]
  [  324    49]]

 [[60862   302]
  [ 1862   192]]

 [[60748  1520]
  [  264   686]]

 [[62111   575]
  [  296   236]]

 [[57791   519]
  [ 4616   292]]

 [[53785  7914]
  [  937   582]]

 [[62485   302]
  [  400    31]]

 [[59107  2516]
  [ 1188   407]]

 [[61087  1284]
  [  452   395]]

 [[62473   446]
  [  183   116]]

 [[60716  1230]
  [  914   358]]

 [[58545   707]
  [ 3243   723]]

 [[61995   537]
  [  611    75]]

 [[62322   429]
  [  308   159]]

 [[62855   117]
  [  222    24]]

 [[45790  1407]
  [14246  1775]]

 [[60653  1843]
  [  391   331]]

 [[62299    98]
  [  786    35]]

 [[56095  1769]
  [ 3632  1722]]

 [[60912   573]
  [ 1182   551]]

 [[63004    60]
  [  136    18]]

 [[53160  7047]
  [  795  2216]]

 [[62032   608]
  [  438   140]]

 [[60871  1649]
  [  315   383]]

 [[62819   234]
  [  137    28]]

 [[56794  5289]
  [  597   538]]

 [[63151     3]
  [   63     1]]]",3,88504
0,b680e17,24/09/2019 11:43:46,Random Forest,TF-IDF,0:01:36.325866,147507,0.22166155208959473,0.4124651381337109,0.22166155208959473,0.23622778086982688,0.2495815719070865,0.2969256465309268,0.21091791540766458,,"OneVsRestClassifier(estimator=BalancedBaggingClassifier(base_estimator=RandomForestClassifier(bootstrap=True,
                                                                                              class_weight=None,
                                                                                              criterion='gini',
                                                                                              max_depth=10,
                                                                                              max_features='auto',
                                                                                              max_leaf_nodes=None,
                                                                                              min_impurity_decrease=0.0,
                                                                                              min_impurity_split=None,
                                                                                              min_samples_leaf=1,
                                                                                              min_samples_split=2,
                                                                                              min_weight_fraction_leaf=0.0,
                                                                                              n_estimators=100,
                                                                                              n_jobs=None,
                                                                                              oob_score=False,
                                                                                              random_state=0,
                                                                                              verbose=0,
                                                                                              warm_start=False),
                                                        bootstrap=False,
                                                        bootstrap_features=False,
                                                        max_features=1.0,
                                                        max_samples=88504,
                                                        n_estimators=3,
                                                        n_jobs=6,
                                                        oob_score=False,
                                                        random_state=None,
                                                        ratio=None,
                                                        replacement=False,
                                                        sampling_strategy='auto',
                                                        verbose=1,
                                                        warm_start=False),
                    n_jobs=4)",,"[[[55534  7128]
  [  132   424]]

 [[61342  1313]
  [  388   175]]

 [[60605  2110]
  [  299   204]]

 [[58926  3872]
  [  318   102]]

 [[52964  1107]
  [ 8278   869]]

 [[61303  1311]
  [  469   135]]

 [[61497   897]
  [  741    83]]

 [[62644   201]
  [  309    64]]

 [[60949   215]
  [ 1818   236]]

 [[61605   663]
  [  323   627]]

 [[60925  1761]
  [  246   286]]

 [[57091  1219]
  [ 4191   717]]

 [[59793  1906]
  [ 1302   217]]

 [[60882  1905]
  [  325   106]]

 [[59540  2083]
  [ 1279   316]]

 [[62361    10]
  [  543   304]]

 [[62400   519]
  [  197   102]]

 [[60796  1150]
  [  964   308]]

 [[58563   689]
  [ 3258   708]]

 [[62379   153]
  [  606    80]]

 [[62597   154]
  [  325   142]]

 [[62724   248]
  [  197    49]]

 [[45587  1610]
  [13827  2194]]

 [[59884  2612]
  [  352   370]]

 [[61528   869]
  [  762    59]]

 [[56275  1589]
  [ 3661  1693]]

 [[60642   843]
  [ 1097   636]]

 [[62544   520]
  [  130    24]]

 [[56235  3972]
  [ 1183  1828]]

 [[62046   594]
  [  451   127]]

 [[60954  1566]
  [  340   358]]

 [[62782   271]
  [  130    35]]

 [[58723  3360]
  [  734   401]]

 [[62369   785]
  [   30    34]]]",3,88504
