"cd_assunto_nivel_1","cd_assunto_nivel_2","cd_assunto_nivel_3","cd_assunto_nivel_4","cd_assunto_nivel_5"
"864","2581","2458","55182",
"864","2581","2458","55183",
"864","2581","2458","55184",
"864","2581","2458","55185",
"864","2581","2458","55186",
"864","2581","2458","55188",
"864","2581","2458","55189",
"864","2581","2458","8810",
"864","2581","2458","8812",
"864","2581","2458","8816",
"864","2581","2477",,
"864","2581","2493",,
"864","2581","2506",,
"864","2581","2506","55401",
"864","2581","2506","55402",
"864","2581","2540",,
"864","2581","2583",,
"864","2581","2583","55124",
"864","2581","2583","55126",
"864","2581","2583","55127",
"864","2581","2583","55128",
"864","2581","2583","55129",
"864","2581","2583","55388",
"864","2581","2594",,
"864","2581","2594","1666",
"864","2581","2594","1666","55130"
"864","2581","2594","1666","55131"
"864","2581","2594","1666","55134"
"864","2581","2594","1666","55135"
"864","2581","2594","1666","55390"
"864","2581","2594","1666","55391"
"864","2581","2594","1666","55392"
"864","2581","2594","1681",
"864","2581","2594","1681","55136"
"864","2581","2594","1681","55138"
"864","2581","2594","1681","55139"
"864","2581","2594","1681","55140"
"864","2581","2594","1681","55393"
"864","2581","2594","1681","55394"
"864","2581","2594","1681","55395"
"864","2581","2594","2604",
"864","2581","2594","55142",
"864","2581","2594","55143",
"864","2581","2594","55144",
"864","2581","2594","55145",
"864","2581","2594","55146",
"864","2581","2594","55147",
"864","2581","2594","55389",
"864","2581","2594","55396",
"864","2581","2606",,
"864","2581","2666",,
"864","2581","4442",,
"864","2581","4442","55173",
"864","2581","4442","55174",
"864","2581","4442","55175",
"864","2581","4442","55399",
"864","2581","55148",,
"864","2581","55149",,
"864","2581","55150",,
"864","2581","55159",,
"864","2581","55169",,
"864","2581","55170",,
"864","2581","55172",,
"864","2581","55397",,
"864","2581","55400",,
"864","2581","8813",,
"864","2620",,,
"864","2620","1849",,
"864","2620","1904",,
"864","2620","1904","55193",
"864","2620","1904","55194",
"864","2620","1907",,
"864","2620","1907","55200",
"864","2620","1907","55404",
"864","2620","2243",,
"864","2620","2243","55203",
"864","2620","2435",,
"864","2620","2478",,
"864","2620","2478","2479",
"864","2620","2478","2480",
"864","2620","2546",,
"864","2620","2546","1998",
"864","2620","2546","1998","55208"
"864","2620","2546","2210",
"864","2620","2546","2212",
"864","2620","2546","2641",
"864","2620","2546","2641","55409"
"864","2620","2546","2641","55410"
"864","2620","2546","2641","55411"
"864","2620","2546","2641","55412"
"864","2620","2546","8820",
"864","2620","2546","8821",
"864","2620","2546","8822",
"864","2620","2546","8823",
"864","2620","2656",,
"864","2620","2656","1929",
"864","2620","2656","1965",
"864","2620","2656","1966",
"864","2620","2656","1976",
"864","2620","2656","1977",
"864","2620","2656","1978",
"864","2620","2656","1981",
"864","2620","2656","2657",
"864","2620","2656","2661",
"864","2620","2656","55205",
"864","2620","2656","55206",
"864","2620","2656","55207",
"864","2620","55192",,
"864","2620","55195",,
"864","2620","55196",,
"864","2620","55197",,
"864","2620","55198",,
"864","2620","55199",,
"864","2620","55202",,
"864","2620","55204",,
"864","2620","55403",,
"864","2620","55405",,
"864","2620","55405","55406",
"864","2620","55405","55407",
"864","2620","55405","55408",
"864","2620","8824",,
"864","2622",,,
"864","2622","2624",,
"864","2622","2624","55011",
"864","2622","2624","55012",
"864","2622","2624","55013",
"864","2622","2624","55014",
"864","2622","2624","55015",
"864","2622","2624","55015","55016"
"864","2622","2624","55017",
"864","2622","2624","55018",
"864","2622","2624","55019",
"864","2622","2624","55020",
"864","2622","2624","55314",
"864","2622","2624","55315",
"864","2622","55010",,
"864","2662",,,
"864","2662","2019",,
"864","2662","2019","55114",
"864","2662","2021",,
"864","2662","2663",,
"864","2662","55113",,
"864","2662","55115",,
"864","55006",,,
"864","55054",,,
"864","55054","55055",,
"864","55054","55056",,
"864","55077",,,
"864","55077","55344",,
"864","55078",,,
"864","55078","55079",,
"864","55078","55080",,
"864","55078","55081",,
"864","55078","55082",,
"864","55218",,,
"864","55218","55219",,
"864","55218","55220",,
"864","55336",,,
"864","55336","55337",,
"864","55336","55338",,
"864","55336","55339",,
"864","55336","55340",,
"864","55341",,,
"864","55341","55342",,
"864","55341","55343",,
"864","7628",,,
"864","7628","2557",,
"864","7628","2558",,
"864","7628","2559",,
"864","7628","55116",,
"864","7628","55117",,
"864","7628","55118",,
"864","7628","55119",,
"864","7628","55120",,
"864","7628","55121",,
"864","7628","55122",,
"864","7628","55123",,
"864","7628","7629",,
"864","7628","7630",,
"864","7628","7631",,
"864","7628","7632",,
"864","7628","7633",,
"864","7628","7633","55381",
"864","7644",,,
"864","7644","5276",,
"864","7644","5276","55022",
"864","7644","5276","55023",
"864","7644","5277",,
"864","7644","5278",,
"864","7644","5279",,
"864","7644","5280",,
"864","7644","5280","55025",
"864","7644","5280","55026",
"864","7644","5280","55026","55027"
"864","7644","5280","55026","55028"
"864","7644","5280","55026","55318"
"864","7644","5280","55026","55319"
"864","7644","5280","55029",
"864","7644","5280","55030",
"864","7644","5280","55312",
"864","7644","5280","55316",
"864","7644","5280","55317",
"864","7644","5280","55320",
"864","7644","5280","55321",
"864","7644","5281",,
"864","7644","5282",,
"864","7644","5284",,
"864","7644","5284","55042",
"864","7644","5286",,
"864","7644","5287",,
"864","7644","5288",,
"864","7644","5288","55038",
"864","7644","5289",,
"864","7644","5290",,
"864","7644","5291",,
"864","7644","5292",,
"864","7644","5293",,
"864","7644","5294",,
"864","7644","5294","55325",
"864","7644","5294","55326",
"864","7644","5294","55327",
"864","7644","5295",,
"864","7644","5296",,
"864","7644","5297",,
"864","7644","5297","55051",
"864","7644","5299",,
"864","7644","5299","55329",
"864","7644","5299","55330",
"864","7644","5301",,
"864","7644","55021",,
"864","7644","55024",,
"864","7644","55031",,
"864","7644","55032",,
"864","7644","55034",,
"864","7644","55035",,
"864","7644","55036",,
"864","7644","55037",,
"864","7644","55039",,
"864","7644","55040",,
"864","7644","55041",,
"864","7644","55043",,
"864","7644","55044",,
"864","7644","55045",,
"864","7644","55047",,
"864","7644","55048",,
"864","7644","55049",,
"864","7644","55050",,
"864","7644","55052",,
"864","7644","55053",,
"864","7644","55322",,
"864","7644","55322","55323",
"864","7644","55322","55324",
"864","7644","7645",,
"864","7644","7646",,
"864","7644","7646","55328",
"8826",,,,
"8826","11781",,,
"8826","11781","11782",,
"8826","11781","11783",,
"8826","11781","11784",,
"8826","11781","11785",,
"8826","11781","11786",,
"8826","11781","11786","55480",
"8826","11781","11786","55481",
"8826","55230",,,
"8826","55230","55232",,
"8826","55230","55233",,
"8826","55230","55234",,
"8826","55230","55235",,
"8826","55230","55236",,
"8826","55230","55237",,
"8826","55230","55498",,
"8826","55230","55499",,
"8826","55230","8865",,
"8826","55301",,,
"8826","55301","55302",,
"8826","55301","55303",,
"8826","55301","55304",,
"8826","55301","55304","55564",
"8826","55301","55305",,
"8826","55301","55305","55637",
"8826","55301","55305","55638",
"8826","55301","55306",,
"8826","55301","55306","55580",
"8826","55301","55307",,
"8826","55301","55308",,
