Esperado;Observado
79.31361271;52.28
56.85225031;58.45
55.21316986;74.68
52.50719705;46.16
28.90145848;40.54
27.09548985;32.5
16.78120362;21.86
13.80701765;13.26
13.48218171;12.55
12.88615245;15.53
8.851034409;14.4
8.725868266;10.37
6.121220429;1.24
5.656317612;0.89
4.720551685;6.03
4.601345834;3.16
4.583464956;4.23
4.529822324;2.7
4.392735595;5.31
3.883130584;4.56
3.510612301;4.51
3.304982209;1.47
3.12021314;1.62
3.033788898;2.47
3.027828606;5.85
2.947364657;3.01
2.646369884;3.06
2.571866227;3.32
2.548025057;0.01
2.291732478;1.09
2.205308237;3.4
2.172526628;2.79
2.160606043;2.49
2.157625896;1.03
1.963916389;0.57
1.88345244;1.82
1.820869368;2
