,Model,Features,Macro Precisão,Macro Revocação,Macro F1-Measure,Micro Precisão,Micro Revocação,Micro F1-Measure,Tempo
0,Multinomial Naive Bayes,TF-IDF,0.07843439943625186,0.026762061409335344,0.026131841491280484,0.31208708474402697,0.24610162767375995,0.1682330273820727,00:00:17
1,Random Forest,TF-IDF,0.3176715852032012,0.17678416372091682,0.20917640309265023,0.3273491764097035,0.32844406731097714,0.30396460549879517,00:09:15
